"","Price.Earnings","Earnings.Share","Market.Cap","Dividend.Yield","Price.Sales","Price.Book"
"398",16.453125,10.24,34471006208,0.0116,2.6981065,3.1152117
"399",23.780952,10.5,15505945600,0.0128,2.3005512,6.3490047
"400",27.851416,8.48,34670276608,0.0082,7.2117286,6.672882
"401",33.586246,8.29,31471777792,0.0188,3.808206,9.001649
"402",51.030926,0.97,24079620096,0.013300001,7.273436,18.191841
"403",40.199024,14.32,61726375936,0.0061000003,9.110097,3.3337774
"404",23.710236,6.35,49674108928,0.010299999,2.3550117,10.359158
"405",34.6992,6.25,67913273344,0.0106,4.2935257,6.05106
"406",36.323944,3.55,171675009024,0.0202,2.1719465,2.8084502
"407",60.349285,2.09,15350273024,0.0022,5.6402583,1.9439306
"410",27.665552,2.99,151423926272,0.0124,8.081977,3.980176
"411",33.916664,10.56,90203668480,0.007900001,3.912797,21.595419
"412",21.59394,4.95,11374806016,0.038,1.3384329,1.475342
"413",13.206557,3.05,57463042048,0.026800001,1.5964173,2.6442592
"415",18.269032,19.44,18641752064,0.0239,3.6530967,3.4059305
"417",19.568764,4.29,91982331904,0.0339,3.4804878,2.7624218
"419",23.11968,7.52,65279733760,0.0478,11.0475025,21.228329
"420",46.101677,11.31,161793507328,0.0073,11.751417,4.7597356
"421",18.26652,4.54,52527775744,0.0298,4.066247,1.8224771
"422",37.14646,5.94,21779765248,0.010299999,4.0896935,3.3032427
"423",13.284974,9.65,19899973632,0.015,1.1116264,2.1604314
"424",12.377588,8.21,29344403456,0.030299999,2.3385723,1.2991396
"426",49.264305,3.67,33316921344,0.0184,3.2693136,3.3938394
"427",73.73611,0.72,27615082496,0.0434,1.6805674,1.5308535
"429",24.054201,3.69,14267370496,0.0335,3.2635002,2.2383618
"430",8.067837,8.55,26784935936,0.015,2.9737911,1.8192848
"431",50.359074,7.77,149166014464,0.0085,6.788296,7.4030843
"432",18.697435,3.9,35674652672,0.026500002,0.4475668,19.280804
"433",16.142857,1.47,172367593472,0.048899997,1.4121547,1.6633955
"434",12.331081,4.44,11286548480,0.0319,0.96613216,0.8471823
"437",77.42106,0.95,11686507520,0.0044,9.974972,5.463933
"438",23.339117,6.34,44147294208,0.0175,2.7861972,3.5919409
"439",34.981873,3.31,18857674752,0.0039,6.8884096,6.5010386
"441",35.69109,5.05,8371012608,0.0074,2.7665234,1.8678302
"442",14.640127,9.42,63192018944,0.0287,0.5889284,4.740153
"443",29.431606,4.24,140283920384,0.0125,2.5220487,19.371313
"444",36.227272,16.5,228639375360,0.0027,5.3962564,4.666859
"445",26.564423,8.77,266652794880,0.0159,3.33291,4.222919
"446",21.142029,3.45,16997646336,0.0184,2.5500932,5.699328
"447",35.652176,5.52,42914799616,0.0146,2.6464968,16.69353
"449",12.806133,9.13,25974831104,0.0428,3.7584221,2.5341368
"450",11.419656,21.47,55557787648,0.0176,1.2253052,2.0095239
"451",26.64706,2.04,29038841856,0.0154,1.9661303,2.539475
"453",25.106667,2.25,20120213504,0.0352,0.37742618,1.0930305
"454",32.244446,11.25,82430582784,0.0092,4.2515635,10.760902
"456",35.43378,5.21,168404385792,0.0271,10.718884,9.750185
"457",17.669746,4.33,14193523712,0.001,1.015201,2.0418458
"461",109.84211,0.38,15680049152,0.040999997,9.346052,3.9680579
"462",12.562291,15.01,12438473728,0.0042,0.80676275,1.8830014
"464",35.203762,15.41,502079356928,0.0155,1.2746431,5.2966676
"465",22.323421,11.1,150224420864,0.0227,6.185129,9.068252
"466",16.948072,6.74,97480458240,0.048699997,1.0749229,5.780286
"467",19.588114,38.7,49506701312,0.0086,3.3052945,5.804263
"468",12.60686,3.79,74536796160,0.039300002,2.9938064,1.4326406
"469",34.59514,9.88,662322937856,0.0069,18.435755,21.605562
"470",11.025926,2.7,31382640640,0.058000002,8.247698,1.1939042
"471",15.48312,8.59,42105802752,0.0324,0.32708365,1.6673563
"472",31.910494,3.24,25569173504,0.0042,4.9784217,13.079063
"473",42.76911,6.41,36204523520,0.0067000003,4.893627,4.602226
"474",44.358025,6.48,40589692928,0.0054,14.376684,135.6489
"477",31.644068,5.31,57168171008,0.005,3.514797,19.309355
"480",9.514493,4.14,165817319424,0.0692,1.2352579,1.7214404
"481",34.65333,6,35739369472,0.0038,3.4597645,3.5173907
"486",24.268948,4.09,31401297920,0.0359,3.679897,2.5990417
"487",87.48718,1.56,84984725504,0.0195,11.24799,2.7822964
"488",14.674116,5.37,259234676736,0.0225,3.328856,1.6010404
"489",32.343613,6.81,88404877312,0.0143,4.13358,11.079477
"490",23.48729,2.36,67569725440,0.0353,6.5183992,5.4519525
"491",40.9,2.4,792493817856,0.0099,1.1916573,9.427585
"492",13.493119,4.36,22290688000,0.0056,1.68964,2.6613889
"493",50.675076,6.74,24735868928,0.0023999999,8.599592,8.997629
"495",41.945206,0.73,22247942144,0.025799999,3.0942895,2.2417455
"497",19.940653,3.37,38589059072,0.0328,2.803826,1.9935919
"498",13.643679,7.83,481570422784,0.0361,1.400655,1.7481018
"499",35.643677,3.48,30134896640,0.0117999995,3.577267,2.845411
"501",20.893131,5.24,21794621440,0.0087,2.8694124,1.7658919
"503",32.124058,5.32,77104095232,0.0116,8.424835,14.744198
